Timestamp,Sensor_ID,Value,Unit,Status
2025-07-01 08:00:00,TEMP_ENGINE,85.2,C,OK
2025-07-01 08:00:00,PRES_FUEL,101.5,kPa,OK
2025-07-01 08:01:00,TEMP_ENGINE,85.5,C,OK
2025-07-01 08:01:00,FLOW_COOLANT,12.3,LPM,OK
2025-07-01 08:02:00,TEMP_ENGINE,85.1,C,WARNING
2025-07-01 08:02:00,PRES_FUEL,nan,kPa,ERROR
2025-07-01 08:03:00,FLOW_COOLANT,12.5,LPM,OK
2025-07-01 08:03:00,HUMIDITY_CABIN,60.1,%,OK
2025-07-01 08:04:00,TEMP_ENGINE,86.0,C,OK
2025-07-01 08:04:00,PRES_FUEL,101.7,kPa,OK
2025-07-02 08:00:00,TEMP_ENGINE,87.0,C,OK
2025-07-02 08:00:00,PRES_FUEL,102.0,kPa,OK
2025-07-02 08:01:00,TEMP_ENGINE,87.3,C,ERROR
2025-07-02 08:01:00,FLOW_COOLANT,12.8,LPM,OK
2025-07-02 08:02:00,PRES_FUEL,102.5,kPa,OK
2025-07-02 08:02:00,HUMIDITY_CABIN,62.5,%,OK
